memo,ID,lat,lng,type
,172,35.892077,128.608398,1
,173,35.892031,128.60831,1
,174,35.891985,128.608222,1
,175,35.891939,128.608134,1
,176,35.891893,128.608046,1
,177,35.891847,128.607958,1
,178,35.891801,128.60787,1
,179,35.891755,128.607782,1
,180,35.891709,128.607694,1
,181,35.891663,128.607606,1
,182,35.891617,128.607518,1
,183,35.891571,128.60743,1
,184,35.891525,128.607342,1
,185,35.891479,128.607254,1
,186,35.891433,128.607166,1
,187,35.891387,128.607078,1
,188,35.891341,128.60699,1
,189,35.891295,128.606902,1
,190,35.891249,128.606814,1
,191,35.891203,128.606726,1
,192,35.891157,128.606638,1
,193,35.891111,128.60655,1
,194,35.891065,128.606462,1
,195,35.891019,128.606374,1
,196,35.890973,128.606286,1
,197,35.890927,128.606198,1
,198,35.890881,128.60611,1
,199,35.890835,128.606022,1
,200,35.890789,128.605934,1
,201,35.890743,128.605846,1
,202,35.890697,128.605758,1
,203,35.890651,128.60567,1
,204,35.890605,128.605582,1
,205,35.890559,128.605494,1
,206,35.890513,128.605406,1
,207,35.890467,128.605318,1
,208,35.890421,128.60523,1
,209,35.890375,128.605142,1
,210,35.890329,128.605054,1
,211,35.890283,128.604966,1
,212,35.890237,128.604878,1
,213,35.890191,128.60479,1
,214,35.890145,128.604702,1
,215,35.890099,128.604614,1
,216,35.890053,128.604526,1
,217,35.890007,128.604438,1
,218,35.889961,128.60435,1
,219,35.889915,128.604262,1
,220,35.889869,128.604174,1
,221,35.889823,128.604086,1
,222,35.889777,128.603998,1
,223,35.889731,128.60391,1
,224,35.889685,128.603822,1
,225,35.889639,128.603734,1
,226,35.889632,128.603755,1
A21,227,35.892225,128.60941,1
,228,35.892167,128.609331,1
,229,35.892109,128.609252,1
,230,35.892051,128.609173,1
A22,231,35.891903,128.609177,1
,232,35.891816,128.609149,1
,233,35.891729,128.609121,1
,234,35.891642,128.609093,1
,235,35.891555,128.609065,1
,236,35.891468,128.609037,1
,237,35.891381,128.609009,1
,238,35.891294,128.608981,1
,239,35.891207,128.608953,1
,240,35.89112,128.608925,1
,241,35.891033,128.608897,1
,242,35.890946,128.608869,1
,243,35.890859,128.608841,1
,244,35.890772,128.608813,1
,245,35.890685,128.608785,1
,246,35.890598,128.608757,1
,247,35.890561,128.608754,1
A31,248,35.892425,128.609297,1
,249,35.89237,128.609367,1
,250,35.892316,128.609437,1
,251,35.892261,128.609507,1
,252,35.892207,128.609597,1
,253,35.892024,128.609738,1
A31/,254,35.892384,128.609236,1
,255,35.892333,128.609309,1
,256,35.892282,128.609382,1
,257,35.892231,128.609455,1
,258,35.89218,128.609528,1
,259,35.892039,128.609641,1
A32,260,35.891999,128.609759,1
,261,35.891945,128.60979,1
,262,35.891891,128.609821,1
,263,35.891837,128.609852,1
,264,35.891783,128.609883,1
,265,35.891729,128.609914,1
,266,35.891675,128.609945,1
,267,35.891621,128.609976,1
,268,35.8913,128.610092,1
A32/,269,35.891972,128.609691,1
,270,35.891918,128.609725,1
,271,35.891864,128.609759,1
,272,35.89181,128.609793,1
,273,35.891756,128.609827,1
,274,35.891702,128.609861,1
,275,35.891648,128.609895,1
,276,35.891594,128.609929,1
,277,35.89132,128.61005,1
A33,278,35.891193,128.610092,1
,279,35.891102,128.610065,1
,280,35.891011,128.610038,1
,281,35.89092,128.610011,1
,282,35.890829,128.609984,1
,283,35.890738,128.609957,1
,284,35.890647,128.60993,1
,285,35.890556,128.609903,1
,286,35.890465,128.609876,1
,287,35.890374,128.609849,1
,288,35.890272,128.609794,1
A33/,289,35.891245,128.610058,1
,290,35.891154,128.61003,1
,291,35.891063,128.610002,1
,292,35.890972,128.609974,1
,293,35.890881,128.609946,1
,294,35.89079,128.609918,1
,295,35.890699,128.60989,1
,296,35.890608,128.609862,1
,297,35.890517,128.609834,1
,298,35.890426,128.609806,1
,299,35.890322,128.609759,1
A41,300,35.889351,128.609486,1
,301,35.889245,128.609467,1
,302,35.889139,128.609448,1
,303,35.889033,128.609429,1
,304,35.888927,128.60941,1
,305,35.888821,128.609391,1
,306,35.888715,128.609372,1
,307,35.888609,128.609353,1
,308,35.888503,128.609334,1
,309,35.888397,128.609315,1
,310,35.888291,128.609296,1
,311,35.888185,128.609277,1
,312,35.888079,128.609258,1
,313,35.887973,128.609239,1
,314,35.887867,128.60922,1
,315,35.887761,128.609201,1
,316,35.887832,128.609127,1
A41/,317,35.888679,128.609279,1
,318,35.888595,128.609256,1
,319,35.888511,128.609233,1
,320,35.888427,128.60921,1
,321,35.888343,128.609187,1
,322,35.888259,128.609164,1
,323,35.888175,128.609141,1
,324,35.888091,128.609118,1
,325,35.887968,128.609116,1
A42,326,35.887775,128.609134,1
,327,35.88769,128.609129,1
,328,35.887605,128.609124,1
,329,35.88752,128.609119,1
,330,35.887435,128.609114,1
,331,35.88735,128.609109,1
,332,35.887265,128.609104,1
,333,35.887137,128.609094,1
A42/,334,35.887785,128.60907,1
,335,35.887698,128.609067,1
,336,35.887611,128.609064,1
,337,35.887524,128.609061,1
,338,35.887437,128.609058,1
,339,35.88735,128.609055,1
,340,35.887264,128.609052,1
