id,NUMPOINTS,lon,lat,grid_size_m
109614,8.0,128.61872908353868,35.88032227601266,100
109615,0.0,128.6187164064359,35.87942083586865,100
110058,8.0,128.62001445201366,35.892932096311874,100
110059,0.0,128.62000175447332,35.892030658460385,100
110060,32.0,128.6199890574969,35.891129220469416,100
110061,3.0,128.61997636108438,35.89022778233897,100
110062,0.0,128.61996366523567,35.889326344069026,100
110063,0.0,128.61995096995082,35.88842490565962,100
110064,0.0,128.61993827522974,35.88752346711073,100
110065,16.0,128.61992558107247,35.88662202842237,100
110066,0.0,128.6199128874789,35.88572058959454,100
110067,0.0,128.61990019444912,35.88481915062724,100
110068,0.0,128.61988750198304,35.88391771152047,100
110069,0.0,128.6198748100806,35.883016272274226,100
110070,12.0,128.61986211874182,35.88211483288851,100
110071,0.0,128.61984942796664,35.88121339336334,100
110072,10.0,128.6198367377551,35.880311953698715,100
110073,24.0,128.61982404810712,35.87941051389461,100
110516,27.0,128.6211222813576,35.89292175902243,100
110517,17.0,128.62110957126433,35.89202032151129,100
110518,9.0,128.62109686173545,35.89111888386066,100
110519,0.0,128.62108415277106,35.89021744607056,100
110520,0.0,128.621071444371,35.88931600814096,100
110521,0.0,128.6210587365354,35.888414570071866,100
110522,0.0,128.62104602926414,35.8875131318633,100
110523,2.0,128.6210333225572,35.88661169351525,100
110524,0.0,128.62102061641454,35.88571025502771,100
110525,0.0,128.62100791083623,35.88480881640071,100
110526,0.0,128.62099520582217,35.88390737763422,100
110527,9.0,128.6209825013723,35.88300593872826,100
110528,10.0,128.6209697974867,35.882104499682825,100
110529,0.0,128.62095709416522,35.88120306049791,100
110530,0.0,128.62094439140793,35.88030162117355,100
110531,0.0,128.62093168921473,35.87940018170969,100
11368,0.0,128.60119375194444,35.894007707086175,300
11369,79.0,128.60115629953745,35.891303376328295,300
11370,102.0,128.60111885212015,35.88859904431625,300
11371,52.0,128.60108140969183,35.885894711050064,300
11372,32.0,128.60104397225174,35.88319037652978,300
11373,61.0,128.60100653979936,35.880486040755464,300
11521,35.0,128.60451730450535,35.89397718458344,300
11522,39.0,128.60447973911786,35.89127285684033,300
11523,38.0,128.60444217873507,35.88856852784286,300
11524,51.0,128.60440462335626,35.88586419759102,300
11525,52.0,128.60436707298084,35.883159866084924,300
11526,53.0,128.60432952760803,35.880455533324564,300
11674,3.0,128.60784085206092,35.89394657013224,300
11675,61.0,128.60780317369355,35.891242245412975,300
11676,0.0,128.60776550034595,35.88853791943915,300
11677,0.0,128.60772783201742,35.88583359221077,300
11678,90.0,128.60769016870722,35.8831292637279,300
11679,91.0,128.60765251041474,35.88042493399058,300
11827,74.0,128.61116439459607,35.893915863733014,300
11828,2.0,128.61112660324952,35.89121154204668,300
11829,0.0,128.6110888169378,35.88850721910558,300
11830,0.0,128.61105103566015,35.88580289490974,300
11831,69.0,128.6110132594159,35.88309856945917,300
11832,111.0,128.61097548820442,35.88039424275399,300
11980,0.0,128.61448793209573,35.893885065386215,300
11981,0.0,128.6144500277707,35.89118074674189,300
11982,11.0,128.6144121284955,35.888476426842594,300
11983,90.0,128.61437423426946,35.88577210568835,300
11984,40.0,128.61433634509183,35.883067783279195,300
11985,155.0,128.61429846096203,35.88036345961519,300
12133,24.0,128.61781146454493,35.89385417509229,300
12134,42.0,128.61777344724206,35.891149859499045,300
12135,92.0,128.61773543500408,35.888445542650636,300
12136,86.0,128.6176974278303,35.885741224547075,300
12137,68.0,128.61765942572,35.8830369051884,300
12138,34.0,128.61762142867258,35.88033258457467,300
12286,81.0,128.62113499192853,35.89382319285166,300
12287,74.0,128.6210968616485,35.8911188803186,300
12288,23.0,128.62105873644845,35.88841456653016,300
12289,18.0,128.62102061632763,35.885710251486344,300
12290,45.0,128.62098250128534,35.88300593518722,300
12291,52.0,128.62094439132093,35.88030161763284,300
4076,41.0,128.60007342767443,35.893116409955084,500
4077,298.0,128.60001107530186,35.88860918896146,500
4078,79.0,128.59994873677357,35.88410196448432,500
4079,98.0,128.5998864120865,35.87959473652386,500
4168,87.0,128.6056126191702,35.893065540792186,500
4169,75.0,128.6055499529906,35.88855832817255,500
4170,173.0,128.6054873007251,35.88405111206847,500
4171,168.0,128.60542466237032,35.87954389248012,500
4260,90.0,128.61115179674883,35.89301441622569,500
4261,0.0,128.61108881676543,35.88850721202208,500
4262,134.0,128.6110258507657,35.88400000433308,500
4263,265.0,128.61096289874646,35.87949279315889,500
4352,24.0,128.61669096034066,35.89296303625769,500
4353,247.0,128.61662766655664,35.88845584051212,500
4354,137.0,128.6165643868259,35.883948641280234,500
4355,248.0,128.61650112114523,35.8794414385622,500
4444,248.0,128.62223010987609,35.892911400890206,500
4445,114.0,128.62216650229456,35.888404213644726,500
4446,115.0,128.62210290883593,35.88389702291199,500
4447,197.0,128.62203932949703,35.879389828692155,500
